concentration;id;start_date;start_hour;end_date;end_hour;emergence
2.5;7;10/01/2023;18:02;21/01/2023;12:15;0
2.5;8;10/01/2023;18:16;21/01/2023;12:15;0
2.5;9;10/01/2023;18:39;21/01/2023;12:15;0
2.5;10;10/01/2023;18:57;21/01/2023;12:15;0
1;1;10/01/2023;16:21;21/01/2023;12:15;0
1;2;10/01/2023;16:35;21/01/2023;12:15;0
1;3;10/01/2023;16:48;21/01/2023;12:15;0
1;4;10/01/2023;17:09;21/01/2023;12:15;1
1;5;10/01/2023;17:35;21/01/2023;12:15;3
1;6;10/01/2023;17:50;21/01/2023;12:15;0
1;7;10/01/2023;18:04;21/01/2023;12:15;0
1;8;10/01/2023;18:18;21/01/2023;12:15;0
1;9;10/01/2023;18:40;21/01/2023;12:15;2
1;10;10/01/2023;18:59;21/01/2023;12:15;0
0.5;1;10/01/2023;16:23;21/01/2023;12:15;3
0.5;2;10/01/2023;16:37;21/01/2023;12:15;3
0.5;3;10/01/2023;16:50;21/01/2023;12:15;3
0.5;4;10/01/2023;17:10;21/01/2023;12:15;8
0.5;5;10/01/2023;17:36;21/01/2023;12:15;2
0.5;6;10/01/2023;17:51;21/01/2023;12:15;7
0.5;7;10/01/2023;18:06;21/01/2023;12:15;5
0.5;8;10/01/2023;18:20;21/01/2023;12:15;6
0.5;9;10/01/2023;18:42;21/01/2023;12:15;11
0.5;10;10/01/2023;19:00;21/01/2023;12:15;7
0.1;1;10/01/2023;16:25;21/01/2023;12:15;9
0.1;2;10/01/2023;16:38;21/01/2023;12:15;11
0.1;3;10/01/2023;16:53;21/01/2023;12:15;11
0.1;4;10/01/2023;17:12;21/01/2023;12:15;5
0.1;5;10/01/2023;17:38;21/01/2023;12:15;7
0.1;6;10/01/2023;17:53;21/01/2023;12:15;4
0.1;7;10/01/2023;18:07;21/01/2023;12:15;14
0.1;8;10/01/2023;18:22;21/01/2023;12:15;14
0.1;9;10/01/2023;18:44;21/01/2023;12:15;10
0.1;10;10/01/2023;19:02;21/01/2023;12:15;8
0.02;1;10/01/2023;16:26;21/01/2023;12:15;14
0.02;2;10/01/2023;16:40;21/01/2023;12:15;5
0.02;3;10/01/2023;16:54;21/01/2023;12:15;8
0.02;4;10/01/2023;17:14;21/01/2023;12:15;5
0.02;5;10/01/2023;17:40;21/01/2023;12:15;9
0.02;6;10/01/2023;17:54;21/01/2023;12:15;9
0.02;7;10/01/2023;18:09;21/01/2023;12:15;10
0.02;8;10/01/2023;18:24;21/01/2023;12:15;10
0.02;9;10/01/2023;18:46;21/01/2023;12:15;9
0.02;10;10/01/2023;19:05;21/01/2023;12:15;11
0.004;1;10/01/2023;16:27;21/01/2023;12:15;6
0.004;2;10/01/2023;16:41;21/01/2023;12:15;5
0.004;3;10/01/2023;16:55;21/01/2023;12:15;3
0.004;4;10/01/2023;17:16;21/01/2023;12:15;3
0.004;5;10/01/2023;17:42;21/01/2023;12:15;3
0.004;6;10/01/2023;17:56;21/01/2023;12:15;3
0.004;7;10/01/2023;18:11;21/01/2023;12:15;9
0.004;8;10/01/2023;18:26;21/01/2023;12:15;2
0.004;9;10/01/2023;18:48;21/01/2023;12:15;6
0.004;10;10/01/2023;19:07;21/01/2023;12:15;11
0.0008;1;10/01/2023;16:29;21/01/2023;12:15;3
0.0008;2;10/01/2023;16:43;21/01/2023;12:15;7
0.0008;3;10/01/2023;16:57;21/01/2023;12:15;7
0.0008;4;10/01/2023;17:18;21/01/2023;12:15;2
0.0008;5;10/01/2023;17:44;21/01/2023;12:15;4
0.0008;6;10/01/2023;17:58;21/01/2023;12:15;4
0.0008;7;10/01/2023;18:12;21/01/2023;12:15;9
0.0008;8;10/01/2023;18:27;21/01/2023;12:15;6
0.0008;9;10/01/2023;18:51;21/01/2023;12:15;3
0.0008;10;10/01/2023;19:09;21/01/2023;12:15;7
0;1;10/01/2023;16:17;22/01/2023;11:30;1
0;2;10/01/2023;16:31;22/01/2023;11:30;0
0;3;10/01/2023;16:45;22/01/2023;11:30;0
0;4;10/01/2023;17:05;22/01/2023;11:30;1
0;5;10/01/2023;17:31;22/01/2023;11:30;2
0;6;10/01/2023;17:45;22/01/2023;11:30;0
0;7;10/01/2023;18:00;22/01/2023;11:30;1
0;8;10/01/2023;18:14;22/01/2023;11:30;1
0;9;10/01/2023;18:37;22/01/2023;11:30;1
0;10;10/01/2023;18:55;22/01/2023;11:30;0
2.5;1;10/01/2023;16:19;22/01/2023;11:30;0
2.5;2;10/01/2023;16:33;22/01/2023;11:30;0
2.5;3;10/01/2023;16:46;22/01/2023;11:30;0
2.5;4;10/01/2023;17:07;22/01/2023;11:30;0
2.5;5;10/01/2023;17:33;22/01/2023;11:30;2
2.5;6;10/01/2023;17:48;22/01/2023;11:30;0
2.5;7;10/01/2023;18:02;22/01/2023;11:30;0
2.5;8;10/01/2023;18:16;22/01/2023;11:30;2
2.5;9;10/01/2023;18:39;22/01/2023;11:30;6
2.5;10;10/01/2023;18:57;22/01/2023;11:30;2
1;1;10/01/2023;16:21;22/01/2023;11:30;3
