concentration;id;start_date;start_hour;end_date;end_hour;emergence
0.02;2;10/01/2023;11:11;20/01/2023;13:45;2
0.02;3;10/01/2023;11:27;20/01/2023;13:45;4
0.02;4;10/01/2023;11:46;20/01/2023;13:45;2
0.02;5;10/01/2023;12:02;20/01/2023;13:45;4
0.02;6;10/01/2023;12:58;20/01/2023;13:45;1
0.02;7;10/01/2023;13:18;20/01/2023;13:45;1
0.02;8;10/01/2023;13:55;20/01/2023;13:45;3
0.02;9;10/01/2023;15:09;20/01/2023;13:45;4
0.02;10;10/01/2023;16:10;20/01/2023;13:45;6
0.004;1;10/01/2023;10:56;20/01/2023;13:45;6
0.004;2;10/01/2023;11:13;20/01/2023;13:45;5
0.004;3;10/01/2023;11:29;20/01/2023;13:45;2
0.004;4;10/01/2023;11:48;20/01/2023;13:45;6
0.004;5;10/01/2023;12:04;20/01/2023;13:45;5
0.004;6;10/01/2023;13:00;20/01/2023;13:45;5
0.004;7;10/01/2023;13:20;20/01/2023;13:45;2
0.004;8;10/01/2023;13:58;20/01/2023;13:45;1
0.004;9;10/01/2023;15:10;20/01/2023;13:45;6
0.004;10;10/01/2023;16:11;20/01/2023;13:45;3
0.0008;1;10/01/2023;10:58;20/01/2023;13:45;4
0.0008;2;10/01/2023;11:15;20/01/2023;13:45;2
0.0008;3;10/01/2023;11:31;20/01/2023;13:45;9
0.0008;4;10/01/2023;11:50;20/01/2023;13:45;5
0.0008;5;10/01/2023;12:06;20/01/2023;13:45;4
0.0008;6;10/01/2023;13:02;20/01/2023;13:45;7
0.0008;7;10/01/2023;13:22;20/01/2023;13:45;4
0.0008;8;10/01/2023;14:00;20/01/2023;13:45;1
0.0008;9;10/01/2023;15:13;20/01/2023;13:45;6
0.0008;10;10/01/2023;16:13;20/01/2023;13:45;1
0;1;10/01/2023;10:44;21/01/2023;11:00;6
0;2;10/01/2023;11:00;21/01/2023;11:00;1
0;3;10/01/2023;11:16;21/01/2023;11:00;4
0;4;10/01/2023;11:34;21/01/2023;11:00;3
0;5;10/01/2023;11:52;21/01/2023;11:00;0
0;6;10/01/2023;12:46;21/01/2023;11:00;4
0;7;10/01/2023;13:05;21/01/2023;11:00;4
0;8;10/01/2023;13:26;21/01/2023;11:00;3
0;9;10/01/2023;14:05;21/01/2023;11:00;3
0;10;10/01/2023;15:16;21/01/2023;11:00;5
2.5;1;10/01/2023;10:46;21/01/2023;11:00;8
2.5;2;10/01/2023;11:02;21/01/2023;11:00;3
2.5;3;10/01/2023;11:18;21/01/2023;11:00;2
2.5;4;10/01/2023;11:37;21/01/2023;11:00;3
2.5;5;10/01/2023;11:54;21/01/2023;11:00;3
2.5;6;10/01/2023;12:49;21/01/2023;11:00;2
2.5;7;10/01/2023;13:09;21/01/2023;11:00;4
2.5;8;10/01/2023;13:28;21/01/2023;11:00;4
2.5;9;10/01/2023;14:59;21/01/2023;11:00;10
2.5;10;10/01/2023;15:19;21/01/2023;11:00;10
1;1;10/01/2023;10:48;21/01/2023;11:00;6
1;2;10/01/2023;11:03;21/01/2023;11:00;2
1;3;10/01/2023;11:21;21/01/2023;11:00;3
1;4;10/01/2023;11:39;21/01/2023;11:00;4
1;5;10/01/2023;11:56;21/01/2023;11:00;2
1;6;10/01/2023;12:51;21/01/2023;11:00;4
1;7;10/01/2023;13:10;21/01/2023;11:00;1
1;8;10/01/2023;13:31;21/01/2023;11:00;1
1;9;10/01/2023;15:01;21/01/2023;11:00;6
1;10;10/01/2023;15:21;21/01/2023;11:00;10
0.5;1;10/01/2023;10:50;21/01/2023;11:00;5
0.5;2;10/01/2023;11:05;21/01/2023;11:00;2
0.5;3;10/01/2023;11:23;21/01/2023;11:00;1
0.5;4;10/01/2023;11:41;21/01/2023;11:00;4
0.5;5;10/01/2023;11:57;21/01/2023;11:00;1
0.5;6;10/01/2023;12:53;21/01/2023;11:00;1
0.5;7;10/01/2023;13:13;21/01/2023;11:00;1
0.5;8;10/01/2023;13:34;21/01/2023;11:00;0
0.5;9;10/01/2023;15:03;21/01/2023;11:00;7
0.5;10;10/01/2023;15:27;21/01/2023;11:00;7
0.1;1;10/01/2023;10:52;21/01/2023;11:00;4
0.1;2;10/01/2023;11:08;21/01/2023;11:00;2
0.1;3;10/01/2023;11:25;21/01/2023;11:00;1
0.1;4;10/01/2023;11:43;21/01/2023;11:00;0
0.1;5;10/01/2023;12:00;21/01/2023;11:00;1
0.1;6;10/01/2023;12:55;21/01/2023;11:00;1
0.1;7;10/01/2023;13:16;21/01/2023;11:00;1
